"WFH Setup Available",Designation,"Resource allocation","avg mf","avg br"
No,4,10.0,9.69047619047619,0.958095238095238
No,3,9.0,9.414285714285715,0.9457142857142858
Yes,4,10.0,9.8,0.935
Yes,5,10.0,9.125000000000002,0.8983333333333334
No,5,10.0,9.088000000000001,0.8842666666666668
Yes,5,9.0,8.872916666666667,0.8527083333333335
No,5,9.0,8.906603773584905,0.8483962264150944
No,4,9.0,8.694193548387098,0.8185806451612908
No,5,8.0,8.671052631578947,0.8139473684210523
Yes,3,8.0,8.515873015873018,0.8028571428571428
Yes,4,9.0,8.648750000000001,0.8026249999999999
Yes,5,8.0,8.635714285714286,0.7892857142857144
No,3,8.0,8.38181818181818,0.7765734265734262
No,2,7.0,8.299999999999999,0.7323333333333332
Yes,2,7.0,8.46875,0.7212500000000001
No,4,8.0,8.011397849462364,0.720086021505376
Yes,4,8.0,7.924456521739126,0.7022282608695652
Yes,3,7.0,7.568707482993198,0.6594557823129251
No,3,7.0,7.512866449511399,0.6557980456026056
Yes,4,7.0,7.440167364016736,0.6507531380753143
No,4,7.0,7.417063492063491,0.6477777777777779
Yes,2,6.0,7.2023809523809526,0.6126785714285712
No,4,6.0,7.128191489361698,0.6094680851063828
No,2,6.0,7.155875299760192,0.6073621103117507
Yes,4,6.0,7.031000000000002,0.5948000000000003
No,3,6.0,7.014424951267065,0.5880214424951266
No,2,5.0,6.562869198312241,0.5363080168776372
Yes,1,5.0,6.719999999999998,0.5346666666666667
No,1,5.0,6.538461538461539,0.5292307692307693
Yes,3,6.0,6.442836468885671,0.5202460202604923
No,3,5.0,6.352639087018549,0.5098288159771753
No,4,5.0,6.266666666666667,0.49333333333333335
Yes,4,5.0,6.1499999999999995,0.48500000000000004
Yes,2,5.0,6.0270236612702375,0.4749190535491909
No,2,4.0,5.857407407407397,0.45429398148148153
Yes,3,5.0,5.785041224970558,0.4445347467608957
No,1,4.0,5.727111111111108,0.4392444444444445
Yes,3,4.0,5.546216216216213,0.41862162162162164
No,3,4.0,5.573154362416111,0.4138255033557047
Yes,2,4.0,5.383898916967507,0.39993501805054205
Yes,1,4.0,5.410173697270469,0.3980645161290322
No,1,3.0,5.0294642857142895,0.3603125000000004
Yes,1,3.0,4.864929859719442,0.3454308617234477
No,2,3.0,4.723393316195372,0.33015424164524393
Yes,2,3.0,4.701674107142862,0.3288504464285715
Yes,0,3.0,4.792307692307693,0.3161538461538461
No,0,3.0,4.85,0.305
Yes,3,3.0,4.072727272727273,0.280909090909091
No,3,3.0,4.05,0.28
Yes,1,2.0,4.084017278617711,0.26975161987041046
No,1,2.0,3.9730555555555567,0.26575000000000026
No,0,2.0,3.665714285714286,0.22314285714285717
Yes,2,2.0,3.6108374384236455,0.22073891625615774
Yes,0,2.0,3.459333333333334,0.21633333333333335
No,2,2.0,3.408235294117647,0.20717647058823532
No,1,1.0,2.6536312849162003,0.15290502793296096
Yes,1,1.0,2.6263157894736837,0.1462880886426593
Yes,0,1.0,2.459142857142857,0.1371285714285716
No,0,1.0,2.2797342192691032,0.12607973421926913
Yes,2,1.0,1.7833333333333332,0.08666666666666667
No,2,1.0,1.85,0.07
